bibkey,author_year,title,current_tier_from_tiers_csv,preliminary_tier_from_inventory,final_recommended_tier,priority_rank,JMP_component,literature_bucket,extraction_prompt,pdf_status,md_extraction_status,bibtex_status,cite_for,do_not_cite_for,overclaim_warning,extraction_status,notes,metadata_needs_verification
bosmansMeasurementInequalityOpportunity2021,Bosmans & Ozturk 2021,Measurement of Inequality of Opportunity: A Normative Approach,T2,Tier 2,T3,56,normative-interpretation,responsibility_equality_of_opportunity,T3,no_PDF_in_Literature,no_MD,clean,normative IOp measurement axioms; ex-ante/ex-post; liberal vs utilitarian reward,as the JMP specific welfare object,axiomatic IOp background; cited primitive at most,pending,KEEP T3: normative IOp background; acquire PDF,no
fleurbaeyExAnteEx2013,Fleurbaey & Peragine 2013,Ex Ante Versus Ex Post Equality of Opportunity,T2,Tier 2,T3,57,normative-interpretation,responsibility_equality_of_opportunity,T3,no_PDF_in_Literature,no_MD,clean-no-DOI,ex-ante vs ex-post EOp; the compensation-reward conflict; relevant to the ex-ante welfare stance,as the JMP ex-ante choice justification by itself,"the ex-ante stance is justified structurally (access channel), not only normatively",pending,KEEP T3: relevant to the ex-ante stance (project_state sec.2.3); acquire PDF; verify DOI,verify DOI (JSTOR URL only)
checchiInequalityOpportunityItaly2010,Checchi & Peragine 2010,Inequality of Opportunity in Italy,T2,Tier 1,T3,58,decomposition,inequality_of_opportunity_decomposition,T3,no_PDF_in_Literature,no_MD,clean,empirical EOp template; ex-ante/ex-post; ethically offensive vs acceptable inequality,as a structural welfare decomposition,"reduced-form IOp, not structural welfare",pending,DEMOTE from inventory Tier 1 to T3: empirical IOp template context; acquire PDF,no
brunoriInequalityOpportunityIncome2013,Brunori et al. 2013,"Inequality of Opportunity, Income Inequality, and Economic Mobility",T2,Tier 2,T3,59,decomposition,inequality_of_opportunity_decomposition,T3,in_Literature,yes,clean,international IOp/income-inequality comparisons,as the JMP welfare object,reduced-form IOp context,pending,KEEP T3: IOp comparisons background,no
brunoriUpwardDownwardBias2019,Brunori et al. 2019,Upward and Downward Bias When Measuring Inequality of Opportunity,T2,Tier 2,T3,60,decomposition;identification,inequality_of_opportunity_decomposition,T3,no_PDF_in_Literature,no_MD,clean-no-DOI,sampling/estimation bias in IOp; cross-validation criterion,as a structural-recovery method (the JMP uses synthetic recovery),IOp estimation bias is not the JMP synthetic-recovery gate,pending,KEEP T3: measurement-bias background; acquire PDF; verify DOI,verify DOI (JSTOR URL only)
palominoChannelsInequalityOpportunity2019,Palomino et al. 2019,Channels of Inequality of Opportunity: The Role of Education and Occupation in Europe,T2,Tier 2,T3,61,decomposition,inequality_of_opportunity_decomposition,T3,no_PDF_in_Literature,no_MD,clean-no-DOI,education and occupation as IOp channels; EU-SILC,as the JMP access/ability cut,"their education/occupation channels are reduced-form IOp, not the structural access/ability blocks",pending,"KEEP T3 (relevant channel vocabulary: education, occupation); acquire PDF; verify DOI",verify DOI (JSTOR URL only)
almasMeasuringUnfairInequality2011,Almas et al. 2011,Measuring Unfair (in)Equality,T3,Tier 2,T3,62,normative-interpretation,responsibility_equality_of_opportunity,T3,no_PDF_in_Literature,no_MD,clean,responsibility-sensitive unfairness measurement; unfairness Gini,as the JMP welfare decomposition method,responsibility-sensitive measurement background,pending,KEEP T3: responsibility-measurement background; acquire PDF,no
saezGeneralizedSocialMarginal2016,Saez & Stantcheva 2016,Generalized Social Marginal Welfare Weights for Optimal Tax Theory,T3,Tier 2,T3,63,normative-interpretation,responsibility_equality_of_opportunity,T3,in_Literature,yes,clean-no-DOI,generalized welfare weights; non-utilitarian taxation,as the JMP welfare object,welfare-weights framing differs from money-metric equivalent income,pending,KEEP T3: normative-weights context; verify DOI,verify DOI (JSTOR URL only)
sherGeneralizedSocialMarginal2024,Sher 2024,Generalized Social Marginal Welfare Weights Imply Inconsistent Comparisons of Tax Policies,T3,Tier 2,T3,64,normative-interpretation,responsibility_equality_of_opportunity,T3,in_Literature,yes,clean,critique of generalized welfare weights; inconsistency result,as a JMP method source,a critique of Saez-Stantcheva; tangential to the money-metric approach,pending,KEEP T3: shows a reason the JMP avoids welfare-weights; background,no
piacquadioFairnessJustificationUtilitarianism2017,Piacquadio 2017,A Fairness Justification of Utilitarianism,T3,Tier 2,T3,65,normative-interpretation,responsibility_equality_of_opportunity,T3,no_PDF_in_Literature,no_MD,clean,opportunity-equivalent utilitarianism; fairness axioms,as the JMP specific characterisation,BOUNDARY: axiomatic; cited primitive at most,pending,KEEP T3: axiomatic background; acquire PDF,no
saezOptimalIncomeTransfer2002,Saez 2002,Optimal Income Transfer Programs: Intensive versus Extensive Labor Supply Responses,T3,Tier 2,T3,66,model,microsimulation_tax_benefit,T3,in_Literature,yes,clean-no-DOI,intensive vs extensive margin; optimal transfer design,as a RURO/latent-jobs source,reduced-form optimal-transfer theory,pending,KEEP T3: margin/transfer background; verify DOI,verify DOI (JSTOR URL only)
choneNegativeMarginalTax2010,Chone & Laroque 2010,Negative Marginal Tax Rates and Heterogeneity,T3,Tier 2,T3,67,model,structural_labor_supply,T3,in_Literature,yes,clean-no-DOI,optimal tax with intensive-margin heterogeneity,as a welfare-decomposition source,optimal-tax theory background,pending,KEEP T3; verify DOI,verify DOI (JSTOR URL only)
blundellLabourMarketImpact2000,Blundell et al. 2000,The Labour Market Impact of the Working Families' Tax Credit,T3,Tier 2,T3,68,model;data-infrastructure,microsimulation_tax_benefit,T3,in_Literature,yes,clean,WFTC discrete-choice labor-supply simulation; UK,as a RURO or welfare source,policy-simulation background,pending,KEEP T3: microsimulation-application background,no
blundellEarnedIncomeTax2006,Blundell 2006,Earned Income Tax Credit Policies: Impact and Optimality,T3,Tier 2,T3,69,model,microsimulation_tax_benefit,T3,in_Literature,yes,clean,EITC impact and optimality; UK,as a RURO or welfare source,policy background,pending,KEEP T3: policy background,no
bargainInworkPoliciesEurope2006,Bargain & Orsini 2006,In-Work Policies in Europe,T3,Tier 2,T3,70,model;data-infrastructure,microsimulation_tax_benefit,T3,in_Literature,yes,clean,EUROMOD + discrete labor supply; France/Germany/Finland in-work benefits,as a RURO/opportunity source,fixed-grid policy simulation,pending,KEEP T3: EUROMOD discrete-choice application; France presence,no
bargainPuttingStructureRD2013,Bargain & Doorley 2013,Putting Structure on the RD Design: Social Transfers and Youth Inactivity in France,T3,Tier 2,T3,71,model;data-infrastructure,microsimulation_tax_benefit,T3,in_Literature,yes,clean,France setting; social transfers + labor supply; structural RD,as a RURO/latent-jobs source,"France context, different design",pending,KEEP T3: France structural background,no
immervollWelfareReformEuropean2007,Immervoll et al. 2007,Welfare Reform in European Countries: A Microsimulation Analysis,T3,Tier 2,T3,72,model;data-infrastructure,microsimulation_tax_benefit,T3,in_Literature,yes,clean-no-DOI,EUROMOD + labor supply; EU-15 welfare vs in-work benefits,as a RURO/welfare-decomposition source,policy-simulation background,pending,KEEP T3: EUROMOD application background; verify DOI,verify DOI (JSTOR URL only)
bourguignonMicrosimulationToolEvaluating2006,Bourguignon & Spadaro 2006,Microsimulation as a Tool for Evaluating Redistribution Policies,T3,Tier 2,T3,73,data-infrastructure,microsimulation_tax_benefit,T3,in_Literature,yes,clean,theoretical background for microsimulation in redistribution analysis,as a JMP contribution,"microsimulation is infrastructure, not the contribution",pending,KEEP T3: microsimulation-methodology background,no
aabergeLaborSupplyResponses2000,Aaberge et al. 2000,Labor Supply Responses and Welfare Effects from Replacing Current Tax Rules by a Flat Tax,T3,Tier 2,T3,74,model;welfare,latent_jobs_RURO_opportunity_sets,T3,in_Literature,yes,clean,RURO welfare effects of flat-tax reform; Italy/Norway/Sweden,as the JMP welfare-inequality decomposition,"reform-CV welfare, not level decomposition",pending,KEEP T3: RURO welfare-effects background,no
aabergeMoreEqualSlices2004,Aaberge et al. 2004,Do More Equal Slices Shrink the Cake?,T3,Tier 2,T3,75,model;welfare,latent_jobs_RURO_opportunity_sets,T3,in_Literature,yes,clean,RURO tax-reform welfare; married couples Italy,as the JMP decomposition,reform welfare background,pending,KEEP T3: RURO reform background,no
aabergeEmpiricalOptimalIncome2011,Aaberge & Colombino 2011,Empirical Optimal Income Taxation: A Microeconometric Application to Norway,T3,Tier 2,T3,76,model,latent_jobs_RURO_opportunity_sets,T3,in_Literature,yes,clean,RURO optimal-tax application; Norway,as a welfare-decomposition source,optimal-tax background,pending,KEEP T3: RURO optimal-tax background,no
aabergeDesigningOptimalTaxes2006,Aaberge & Colombino 2006,Designing Optimal Taxes with a Microeconometric Model of Household Labour Supply,T1,Tier 2,T3,77,model,latent_jobs_RURO_opportunity_sets,T3,in_Literature,yes,clean,early RURO optimal-tax exercise; Norway 1994; opportunity-measure description,as a welfare-decomposition source,early working-paper version; the 2013 SJE paper is the citable benchmark,pending,DEMOTE from tiers.csv T1 to T3: superseded by aabergeUsingMicroeconometricModel2013,no
beckerQuantityQualityLife2005,Becker et al. 2005,The Quantity and Quality of Life and the Evolution of World Inequality,T3,Tier 2,T3,78,motivation,money_metric_equivalent_income,T3,in_Literature,yes,clean,full-income welfare with longevity; cross-country welfare inequality,as the JMP money-metric object,"BOUNDARY: cross-country full-income, on the deferred-extension/ranking side",pending,KEEP T3: motivation/background only,no
durandOECDBetterLife2015,Durand 2015,The OECD Better Life Initiative,T2,Tier 2,T3,79,motivation,money_metric_equivalent_income,T3,in_Literature,yes,clean,OECD multidimensional well-being framework; positioning context,as the JMP method,"BOUNDARY: beyond-GDP context, not the JMP object",pending,DEMOTE from tiers.csv T2 to T3: positioning context only,no
fleurbaeyManiquet2019,Fleurbaey & Maniquet 2019,[verify title -- Fleurbaey-Maniquet 2019],(absent),(not in inventory),T3,80,normative-interpretation,responsibility_equality_of_opportunity,T3,in_Literature,has_MD,MISSING_bib,fairness primitive (pending identification),as JMP-original theory,BOUNDARY: cited primitive; identify first,pending,PDF Fleurbaey_maniquet_2019.pdf has MD but no confirmed bib; identify via MD,verify title/venue/key
fleurbaey1995,Fleurbaey 1995,[verify title -- Fleurbaey 1995],(absent),(not in inventory),T3,81,normative-interpretation,responsibility_equality_of_opportunity,T3,in_Literature,has_MD,MISSING_bib,early responsibility/compensation primitive (pending identification),as JMP-original theory,BOUNDARY: cited primitive; identify first,pending,PDF Fleurbaey_1995.pdf has MD but no confirmed bib; identify via MD,verify title/venue/key
maniquet2008,Maniquet 2008,[verify title -- Maniquet 2008],(absent),(not in inventory),T3,82,normative-interpretation,responsibility_equality_of_opportunity,T3,in_Literature,has_MD,MISSING_bib,fairness primitive (pending identification),as JMP-original theory,BOUNDARY: cited primitive; identify first; keep distinct from companion theory paper,pending,PDF Maniquet2008.pdf has MD but no confirmed bib; identify via MD,verify title/venue/key
valetta2010,Valetta/Valletta 2010,[verify title -- Valletta 2010],(absent),(not in inventory),T3,83,motivation,not_central_or_background,T3,in_Literature,has_MD,MISSING_bib,[verify subject],as a core source,identify before any use,pending,PDF Valetta_2010.pdf has MD but no confirmed bib; likely Valletta (spelling); identify via MD,verify title/author spelling/key
equalOpportunityOrEqualSocialOutcome,[verify] Equal Opportunity or Equal Social Outcome,[verify full title],(absent),(not in inventory),T3,84,normative-interpretation,responsibility_equality_of_opportunity,T3,in_Literature,has_MD,MISSING_bib,[verify],as a core source,identify before any use,pending,PDF Equal_Opportunity_or_Equal_Social_Outcom.pdf truncated title; identify via MD,verify full title/author/year/key
jonesKlenow2016,Jones & Klenow 2016,Beyond GDP? Welfare across Countries and Time,(absent),Tier 2,T3,85,motivation,money_metric_equivalent_income,T3,in_Literature,has_MD,unconfirmed_bib,full-welfare cross-country measurement; motivation for money-metric beyond income,as the JMP method/object,"BOUNDARY: cross-country, on the ranking/deferred-extension side",pending,Has PDF + MD; bib entry not confirmed -- locate or add. AER 2016,verify bib key/entry exists
chapter_10,[verify] Book Chapter 10,[verify title and source],T2,Tier 2,T3,86,model,structural_labor_supply,T3,in_Literature,has_MD,MISSING_bib,[verify -- likely a handbook/textbook chapter on labor supply or welfare],as a citable source,unidentified; do not cite until source confirmed,pending,Has PDF + MD; identify handbook source via MD before any tiering finalization,verify title/authors/source/key
chapter_11,[verify] Book Chapter 11,[verify title and source],T2,Tier 2,T3,87,model,structural_labor_supply,T3,in_Literature,has_MD,MISSING_bib,[verify -- likely a handbook/textbook chapter],as a citable source,unidentified; do not cite until source confirmed,pending,Has PDF + MD; identify handbook source via MD,verify title/authors/source/key
Chapter34Welfare2002,[verify] Moffitt 2002 (Ch.34),Welfare Programs and Labor Supply (Handbook of Public Economics Ch. 34),T2,Tier 2,T3,88,model,structural_labor_supply,T3,no_PDF_in_Literature,no_MD,no_author,background on welfare-program labor-supply effects,as a RURO source,handbook chapter; background,pending,KEEP T3; add missing author (likely Moffitt) to bib,verify author = Moffitt
aaberge1999LabourSupplyItaly,Aaberge et al. 1999,"Labour Supply in Italy: An Empirical Analysis of Joint Household Decisions, with Taxes and Quantity Constraints",(absent),(not in inventory),T2,89,model;opportunity-mechanism,latent_jobs_RURO_opportunity_sets,T2,in_Literature,has_MD,unconfirmed_bib,the ACS 1999 RURO benchmark welfare spec sec.4 cites by name; joint household decisions with quantity constraints; Italy,as a modern identification source,do not cite 1999 for identification the 2016 Dagsvik-Jia paper supplies,pending,PROMOTE: welfare spec sec.4 names Aaberge-Colombino-Strom 1999 as a tradition anchor. PDF present; confirm/add bib,verify bib key/entry exists
bargainPeichl2016OwnWage,Bargain & Peichl 2016,Own-Wage Labor Supply Elasticities: Variation Across Time and Estimation Methods,(absent),(not in inventory),T3,90,model,structural_labor_supply,T3,in_Literature,has_MD,unconfirmed_bib,survey of own-wage labor-supply elasticities; external benchmark for elasticity plausibility,as a RURO/welfare source,elasticity benchmark only,pending,Has PDF; bib not confirmed -- locate or add. IZA J Labor Econ 2016,verify bib key/entry exists
anandMeasuringWelfareLatent2011,Anand et al. 2011,Measuring Welfare: Latent Variable Models for Happiness and Capabilities,(none),not_central_or_background,REJECT,91,(none),not_central_or_background,(none),no_PDF_in_Literature,no_MD,clean,N/A,N/A,"capabilities/GLLAMM approach; not aligned with RURO, money-metric, or the decomposition",excluded,REJECT: not aligned (bibtex audit sec.5); drop from active library,no
osbergIndexEconomicWell2002,Osberg & Sharpe 2002,An Index of Economic Well-Being for Selected OECD Countries,(none),not_central_or_background,REJECT,92,(none),not_central_or_background,(none),no_PDF_in_Literature,no_MD,clean,N/A,N/A,OECD index; broad beyond-GDP background only,excluded,REJECT: peripheral (bibtex audit sec.5); cross-country index on the boundary,no
duroFactorDecompositionCrosscountry1998,Duro & Esteban 1998,Factor Decomposition of Cross-Country Income Inequality 1960-1990,(none),not_central_or_background,REJECT,93,(none),Shapley_decomposition_inequality,(none),no_PDF_in_Literature,no_MD,clean,N/A,N/A,Theil factor decomposition cross-country; no welfare/opportunity angle,excluded,REJECT: not aligned (bibtex audit sec.5); the Shorrocks line covers the methodology,no
rothShapleyValueEssays1988,Roth (ed.) 1988,The Shapley Value: Essays in Honor of Lloyd S. Shapley,(none),Tier 3 (background),DEFER,94,decomposition,Shapley_decomposition_inequality,(none),no_PDF_in_Literature,no_MD,clean,the game-theoretic Shapley-value foundation; cite only if a foundational footnote is wanted,as an inequality-decomposition method (it is the game-theory source),deep background; unlikely to be cited directly,excluded,DEFER: background reference only; no PDF; cite at most for the Shapley-value origin,no
caloBlancoGarciaPerez2014,Calo-Blanco & Garcia-Perez 2014,On the Welfare Loss Caused by Inequality of Opportunity,(none),Tier 1 (stub),DEFER,95,decomposition;normative-interpretation,inequality_of_opportunity_decomposition,(none),no_PDF_in_Literature,no_MD,STUB_replace,welfare loss from IOp; flagged essential in gap check,as a structural-welfare-decomposition method,"gap-check flagged essential but it is IOp-welfare-loss, conceptually adjacent not core to the structural machinery",excluded,"DEFER until acquired: replace WelfareLossCaused stub with full bib, source PDF, then re-tier (likely T2/T3). Currently no PDF",verify full bib (J Econ Inequality 2014)
brunoriOpportunitySensitivePovertyMeasurement2013,Brunori et al. 2013b,Opportunity-Sensitive Poverty Measurement,T3,Tier 3 (background),DEFER,96,decomposition,responsibility_equality_of_opportunity,(none),no_PDF_in_Literature,no_MD,clean,opportunity-sensitive poverty; possible blind spot per gap check,as the JMP welfare object,poverty-measurement angle; peripheral to the welfare-inequality decomposition,excluded,DEFER: background/possible-blind-spot; acquire only if poverty angle becomes relevant,no
picchioWelfareEvaluation19862018,Picchio & Valletta 2018,A Welfare Evaluation of the 1986 Tax Reform for Married Couples in the United States,T3,Tier 2,T3,97,welfare,random_utility_welfare,T3,no_PDF_in_Literature,no_MD,clean,multiple welfare metrics with preference heterogeneity; US TRA86; structural labor supply,as the JMP opportunity decomposition,"reform-welfare with a metric menu; comparator for the welfare-family idea, not the opportunity layer",pending,KEEP T3: welfare-metric-menu comparator; acquire PDF (Zotero files/70). Note: Valletta here differs from Valetta_2010.pdf,no
jaraPuttingMeasuresIndividual2017,Jara & Schokkaert 2017,Putting Measures of Individual Well-Being to Use for Ex-Ante Policy Evaluation,T3,Tier 2,T3,98,welfare;data-infrastructure,random_utility_welfare,T3,no_PDF_in_Literature,no_MD,clean,equivalent income + life satisfaction for ex-ante policy evaluation; EUROMOD + EU-SILC Sweden,as the JMP opportunity layer,equivalent-income policy-evaluation comparator using EUROMOD,pending,KEEP T3: EUROMOD equivalent-income comparator; acquire PDF,no
