source_id,bibtex_key,author_year,title,authors,year,publication_type,journal_or_source,DOI_or_URL,has_bibtex,has_pdf,appears_in_full_literature_md,appears_in_deep_research_reports,likely_JMP_bucket,preliminary_tier,notes,metadata_problems
71,picchioWelfareEvaluation19862018,Picchio & Valletta 2018,A Welfare Evaluation of the 1986 Tax Reform for Married Couples in the United States,"Picchio, Matteo; Valletta, Giacomo",2018,journal article,International Tax and Public Finance,https://doi.org/10.1007/s10797-017-9472-1,yes,yes,no,no,random_utility_welfare,Tier 2,Multiple welfare metrics with preference heterogeneity; US TRA86; structural labor supply,no MD extraction; PDF in bib files/ path only (files/70)
72,roemerEqualityOpportunityProgress2002,Roemer 2002,Equality of Opportunity: A Progress Report,"Roemer, John E.",2002,journal article,Social Choice and Welfare,,yes,yes,yes,yes,responsibility_equality_of_opportunity,Tier 1,EOp progress report; Roemer framework foundations,missing DOI (JSTOR URL only)
73,roemerEqualityOpportunityTheory2016,Roemer & Trannoy 2016,Equality of Opportunity: Theory and Measurement,"Roemer, John E.; Trannoy, Alain",2016,journal article,Journal of Economic Literature,https://doi.org/10.1257/jel.20151206,yes,yes,yes,yes,responsibility_equality_of_opportunity,Tier 1,JEL survey of EOp theory and measurement; authoritative reference,
74,rothShapleyValueEssays1988,Roth (ed.) 1988,The Shapley Value: Essays in Honor of Lloyd S. Shapley,"Roth, Alvin E. (ed.)",1988,book,Cambridge University Press,https://doi.org/10.1017/CBO9780511528446,yes,no,no,no,Shapley_decomposition_inequality,Tier 3 (background),Shapley value game-theory foundations; background reference,no PDF in Literature/ folder
75,saezGeneralizedSocialMarginal2016,Saez & Stantcheva 2016,Generalized Social Marginal Welfare Weights for Optimal Tax Theory,"Saez, Emmanuel; Stantcheva, Stefanie",2016,journal article,American Economic Review,,yes,yes,yes,yes,responsibility_equality_of_opportunity,Tier 2,Generalized welfare weights; non-utilitarian taxation; closely related to JMP normative frame,missing DOI (JSTOR URL only)
76,saezOptimalIncomeTransfer2002,Saez 2002,Optimal Income Transfer Programs: Intensive versus Extensive Labor Supply Responses,"Saez, Emmanuel",2002,journal article,Quarterly Journal of Economics,,yes,yes,yes,yes,microsimulation_tax_benefit,Tier 2,NIT vs EITC; intensive vs extensive margin; optimal transfer design,missing DOI (JSTOR URL only)
77,sastreShapleyInequalityDecomposition2002,Sastre & Trannoy 2002,Shapley Inequality Decomposition by Factor Components: Some Methodological Issues,"Sastre, Mercedes; Trannoy, Alain",2002,journal article,Journal of Economics,https://doi.org/10.1007/BF03052500,yes,yes,no,yes,Shapley_decomposition_inequality,Tier 1,Shapley decomposition methodology; UK and US income distributions; key decomposition methods paper,no MD extraction; PDF in bib files/ path only
78,sherGeneralizedSocialMarginal2024,Sher 2024,Generalized Social Marginal Welfare Weights Imply Inconsistent Comparisons of Tax Policies,"Sher, Itai",2024,journal article,American Economic Review,https://doi.org/10.1257/aer.20211025,yes,yes,yes,yes,responsibility_equality_of_opportunity,Tier 2,Critique of Saez-Stantcheva welfare weights; inconsistency result,
79,shorrocksDecompositionProceduresDistributional2013,Shorrocks 2013,Decomposition Procedures for Distributional Analysis: A Unified Framework Based on the Shapley Value,"Shorrocks, Anthony F.",2013,journal article,Journal of Economic Inequality,https://doi.org/10.1007/s10888-011-9214-z,yes,yes,yes,yes,Shapley_decomposition_inequality,Tier 1,Shapley value for distributional decompositions; unified framework; core decomposition paper,
80,shorrocksInequalityDecompositionFactor1982,Shorrocks 1982,Inequality Decomposition by Factor Components,"Shorrocks, A. F.",1982,journal article,Econometrica,https://doi.org/10.2307/1912537,yes,yes,no,yes,Shapley_decomposition_inequality,Tier 1,Factor decomposition foundations; Econometrica benchmark; essential pre-2013 basis,no MD extraction; PDF in bib files/ path only
81,sutherlandEUROMODEuropeanUnion2013,Sutherland & Figari 2013,EUROMOD: The European Union Tax-Benefit Microsimulation Model,"Sutherland, Holly; Figari, Francesco",2013,working paper,EUROMOD Working Paper,https://www.econstor.eu/handle/10419/91644,yes,yes,yes,yes,microsimulation_tax_benefit,Tier 1,EUROMOD reference paper; EU-15 tax-benefit model; key infrastructure,
82,tidotakengDecompositionsInequalityMeasures2023,Tido Takeng et al. 2023,Decompositions of Inequality Measures from the Perspective of the Shapley-Owen Value,"Tido Takeng, Rodrigue; Soh Voutsa, Arnold Cedrick; Fourrey, Kévin",2023,journal article,Theory and Decision,https://doi.org/10.1007/s11238-022-09893-w,yes,yes,no,yes,Shapley_decomposition_inequality,Tier 2,Shapley-Owen grouped decomposition; hierarchical income structure; AID coalitional values,no MD extraction; PDF in bib files/ path only
83,vandegaerMeasurementInequalityOpportunity2020,Van de gaer & Ramos 2020,Measurement of Inequality of Opportunity Based on Counterfactuals,"Van de gaer, Dirk; Ramos, Xavier",2020,journal article,Social Choice and Welfare,,yes,yes,no,yes,inequality_of_opportunity_decomposition,Tier 1,Counterfactual EOp measurement; parametric procedures and basic properties,no MD extraction; PDF in bib files/ path only; missing DOI (JSTOR URL only); author name "Van de gaer" (lowercase 'd' — check bib)
84,vansoestStructuralModelsFamily1995,Van Soest 1995,Structural Models of Family Labor Supply: A Discrete Choice Approach,"Van Soest, Arthur",1995,journal article,Journal of Human Resources,https://doi.org/10.2307/146191,yes,yes,yes,yes,structural_labor_supply,Tier 1,Discrete choice labor supply benchmark; Dutch families; multinomial logit,
85,WelfareLossCaused,[no key],On the Welfare Loss Caused by Inequality of Opportunity (ProQuest stub),[verify],,[online stub],ProQuest / Journal of Economic Inequality,,yes,no,no,yes,inequality_of_opportunity_decomposition,Tier 1 (stub),Calo-Blanco & García-Pérez 2014 welfare loss from IOp — identified as essential missing paper in gap check,NO proper bibtex entry — only a URL stub with no author/title/year fields; needs full entry added to bib
86,[no bib entry],Aaberge et al. 1995,Labor Supply Responses and Welfare Effects of Tax Reforms,"Aaberge, Rolf; Dagsvik, John K.; Strøm, Steinar",1995,journal article,Scandinavian Journal of Economics,[verify],no,yes,yes,yes,latent_jobs_RURO_opportunity_sets,Tier 1,Original RURO paper (Aaberge-Dagsvik-Strøm 1995); cited in LIT report as benchmark; has PDF but NO BibTeX entry,MISSING from bib — only PDF in Literature/; needs bib entry added
87,chapter_10_11,[no specific key],Book Chapter 10 and Chapter 11,[verify authors/title],,[book chapters],[verify source],[verify],yes,yes,yes,no,structural_labor_supply,Tier 2,Handbook chapters on welfare and labor supply; exact source unknown from filename alone,vague filenames — exact source not identified from filename alone; [verify] title/authors/source
